# DEPRECATED 2026-04-16: Results below produced by engine with flip-accounting bug.
# Sharpe, win rate, return, and profit factor are unreliable for strategies that
# emit sign-flip signals (most strategies). Rerun on fixed engine before trusting.
# See strategies/30m-concentrated/LIVE_RECONCILIATION.md for details.
exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
exp18-htf-mom-12	val	27.55	27.55	96.9	0.2326	23817	74.3	10.07	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum window 24->12 (6h lookback)
exp19-htf-mom-8	val	26.61	26.61	85.0	0.2014	23960	72.4	8.51	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum window 12->8 (4h lookback)
exp20-htf-mom-16	val	24.85	24.85	91.4	0.4414	22292	73.7	9.69	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum window 12->16 (8h lookback)
exp21-htf-mom-10	val	27.42	27.42	91.5	0.1796	23654	73.5	9.47	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum window 12->10 (5h lookback)
exp22-htf-mom-thresh-0.008	val	28.70	28.73	100.6	0.2326	25104	74.9	10.31	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum threshold 0.012->0.008 (more sensitive)
exp23-htf-mom-thresh-0.005	val	29.42	29.47	102.8	0.2326	26045	75.2	10.45	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum threshold 0.008->0.005
exp24-htf-mom-thresh-0.003	val	29.67	29.74	103.4	0.2326	26580	75.3	10.56	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum threshold 0.005->0.003
exp25-htf-mom-thresh-0.001	val	30.09	30.16	103.9	0.2326	26951	75.5	10.58	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum threshold 0.003->0.001
exp26-htf-mom-thresh-0.0005	val	30.22	30.31	104.2	0.2326	27042	75.6	10.61	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum threshold 0.001->0.0005
exp27-htf-mom-thresh-0	val	30.24	30.32	104.2	0.2326	27090	75.6	10.60	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF momentum threshold 0.0005->0.0 (any direction counts)
exp28-htf-ema-10-40	val	30.15	30.23	104.3	0.2326	27064	75.5	10.57	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF EMA 14/52->10/40 (faster crossover)
exp29-neutral-htf-override	val	30.23	30.31	104.1	0.2326	27091	75.6	10.60	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	allow 5/5 votes to override neutral HTF (htf_direction=0)
exp30-entry-thresh-0.010	val	30.52	30.62	104.9	0.2630	27761	75.7	10.63	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	30m entry dyn_threshold 0.012->0.010
exp31-entry-thresh-0.008	val	30.89	31.02	106.6	0.2630	28500	76.0	10.79	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	30m entry dyn_threshold 0.010->0.008
exp32-entry-thresh-0.006	val	30.92	31.07	106.8	0.2630	29303	76.3	10.80	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	30m entry dyn_threshold 0.008->0.006
exp33-entry-thresh-0.004	val	31.01	31.18	107.4	0.2630	30202	76.6	10.79	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	30m entry dyn_threshold 0.006->0.004
exp34-entry-thresh-0.002	val	30.90	31.11	107.9	0.2630	31109	76.8	10.92	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	30m entry dyn_threshold 0.004->0.002
exp35-med-window-8	val	30.69	30.84	103.6	0.2630	29668	75.9	10.36	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MED_WINDOW 12->8 (shorter medium momentum)
exp36-short-window-4	val	30.76	30.94	106.8	0.2630	30122	76.5	10.82	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	SHORT_WINDOW 6->4 (shorter vshort momentum)
exp37-no-flip	val	-7.98	-7.98	-13.4	13.9008	30738	51.0	1.02	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	exit flat on opposing signal instead of flipping
exp38-no-rsi-exit	val	-1.28	-0.57	-26.6	29.2706	6048	0.0	0.00	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	remove RSI exit thresholds, rely on ATR stop + flipping only
exp39-min-votes-4of5	val	29.00	29.06	97.4	0.2630	26885	74.8	9.97	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MIN_VOTES 3/5->4/5 (stricter entry)
exp40-rsi-period-10	val	28.65	28.79	101.9	0.2193	28343	75.9	10.31	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	RSI_PERIOD 8->10 (longer RSI)
exp41-rsi-exit-65-35	val	30.17	30.40	92.3	0.1626	34759	72.1	7.13	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	RSI exit 69/31->65/35 (tighter, take profit earlier)
exp42-tp-2.5pct	val	31.74	31.92	108.9	0.1939	30369	76.7	10.86	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	add 2.5% take profit (from 30m-8coin champion)
exp43-tp-2.0pct	val	31.68	31.87	109.4	0.2138	30503	76.7	10.88	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	take profit 2.5%->2.0%
exp44-tp-3.0pct	val	31.24	31.42	108.0	0.2191	30271	76.6	10.79	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	take profit 2.5%->3.0%
exp45-vshort-mult-0.5	val	31.71	31.90	108.8	0.1939	30563	76.8	10.88	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	vshort momentum threshold multiplier 0.7->0.5
exp46-ema-5-20	val	31.91	32.09	109.6	0.1939	30438	76.8	10.93	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	EMA fast/slow 7/26->5/20 (faster crossover)
exp47-ema-3-15	val	31.95	32.13	109.2	0.1844	30592	76.7	10.92	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	EMA fast/slow 5/20->3/15 (faster crossover)
exp48-ema-3-12	val	31.98	32.17	108.9	0.1844	30658	76.7	10.90	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	EMA slow 15->12
exp49-ema-3-10	val	31.87	32.06	108.3	0.1844	30681	76.6	10.80	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	EMA slow 12->10
exp50-macd-8-17-7	val	31.81	32.00	103.6	0.2156	31221	76.2	10.34	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MACD 14/23/9->8/17/7 (faster MACD for 30m)
exp51-rsi-exit-67-33	val	31.67	31.89	103.0	0.1679	32950	74.7	9.07	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	RSI exit 69/31->67/33 (slightly tighter)
exp52-size-0.09	val	31.82	32.13	128.7	0.2074	30658	76.7	10.92	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	position size 0.08->0.09
exp53-size-0.07	val	32.13	32.21	90.7	0.1613	30658	76.7	10.89	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	position size 0.08->0.07
exp54-size-0.06	val	32.25	32.25	74.0	0.1383	30658	76.7	10.87	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	position size 0.07->0.06
exp55-size-0.05	val	32.29	32.29	58.8	0.1153	30658	76.7	10.86	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	position size 0.06->0.05
exp56-size-0.04	val	32.33	32.33	44.9	0.0922	30658	76.7	10.84	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	position size 0.05->0.04
exp57-size-0.03	val	32.37	32.37	32.1	0.0692	30658	76.7	10.82	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	position size 0.04->0.03
exp58-rsi-period-6	val	32.32	32.32	46.4	0.1281	32052	78.0	11.40	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	RSI_PERIOD 8->6 (shorter RSI for 30m)
exp59-htf-ema-12-48	val	32.14	32.14	44.7	0.0922	30632	76.7	10.80	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF EMA 14/52->12/48 (slightly faster)
exp60-5of5-bypass-neutral	val	32.33	32.33	44.9	0.0922	30660	76.7	10.84	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	5/5 unanimity can bypass neutral HTF (htf_direction==0)
exp61-atr-lookback-14	val	32.33	32.33	44.9	0.0922	30658	76.7	10.84	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	ATR_LOOKBACK 24->14 (more responsive stops)
exp62-tp-2.2pct	val	32.39	32.39	45.1	0.0922	30733	76.7	10.78	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	take profit 2.5%->2.2% (fine-tune)
exp63-tp-2.0pct	val	32.33	32.33	45.1	0.1021	30790	76.7	10.86	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	take profit 2.2%->2.0%
exp64-min-history-40	val	32.39	32.39	45.1	0.0922	30733	76.7	10.78	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MIN_HISTORY 60->40 (less warmup)
exp65-short-window-8	val	32.46	32.46	45.2	0.0922	30662	76.8	10.79	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	SHORT_WINDOW 6->8 (longer vshort momentum)
exp66-short-window-10	val	32.31	32.31	45.4	0.0922	30637	76.8	10.90	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	SHORT_WINDOW 8->10
exp67-med-window-14	val	32.60	32.60	45.4	0.0922	30546	76.7	10.84	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MED_WINDOW 12->14
exp68-med-window-16	val	32.50	32.50	45.4	0.0922	30508	76.7	10.79	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MED_WINDOW 14->16
exp69-rsi-period-7	val	32.43	32.43	45.4	0.1022	31294	77.2	10.68	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	RSI_PERIOD 8->7
exp70-entry-thresh-0.003	val	32.59	32.59	45.4	0.0922	30768	76.8	10.88	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	dyn_threshold 0.004->0.003
exp71-dynamic-threshold	val	32.50	32.50	45.4	0.0922	31082	76.9	10.91	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	dynamic entry threshold based on 20-bar realized vol * 0.3
exp72-htf-ema-16-56	val	32.60	32.60	45.3	0.0922	30537	76.7	10.81	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF EMA 14/52->16/56 (slower)
exp73-htf-mom-14	val	31.48	31.48	45.1	0.1345	29680	76.3	10.92	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF_MOM_WINDOW 12->14 (fine-tune)
exp74-htf-mom-11	val	32.61	32.61	44.6	0.0885	31103	76.5	10.57	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF_MOM_WINDOW 12->11
exp75-test-validation	test	29.51	29.51	35.7	0.0994	31681	73.8	10.18	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	test split validation of best strategy (val score 32.61)
exp76-ema-fast-4	val	32.57	32.57	44.7	0.0885	30993	76.5	10.54	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	EMA_FAST 3->4 (fine-tune)
exp77-ema-slow-14	val	32.56	32.56	44.7	0.0885	31042	76.4	10.54	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	EMA_SLOW 12->14 (slightly longer)
exp78-rsi-entry-51-49	val	32.62	32.62	44.6	0.0885	31018	76.4	10.54	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	RSI entry 50/50->51/49 (slight asymmetry)
exp79-macd-signal-7	val	33.20	33.20	44.2	0.0885	31246	76.4	10.49	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MACD_SIGNAL 9->7 (faster signal line)
exp80-macd-signal-5	val	33.31	33.31	44.1	0.0812	31510	76.3	10.40	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MACD_SIGNAL 7->5 (faster signal line)
exp81-macd-signal-3	val	33.19	33.19	43.0	0.0812	31740	76.1	10.11	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MACD_SIGNAL 5->3
exp82-macd-10-20-5	val	32.97	32.97	43.1	0.0812	31647	76.1	10.11	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MACD 14/23->10/20 (faster MACD)
exp83-macd-fast-12	val	33.22	33.22	43.8	0.0812	31564	76.2	10.31	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MACD_FAST 14->12
exp84-macd-slow-26	val	33.34	33.34	44.0	0.0812	31479	76.4	10.40	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MACD_SLOW 23->26 (standard 14/26)
exp85-macd-slow-30	val	33.05	33.05	44.0	0.0885	31378	76.2	10.40	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MACD_SLOW 26->30
split-test	val	26.14	26.14	14.4	0.0370	15620	75.5	9.29	BTC/ETH/SOL	2026-03-27	OOS validation
split-test	test	23.82	23.82	12.4	0.0475	15158	76.6	10.68	BTC/ETH/SOL	2026-03-27	OOS validation
split-test-8coin	val	33.34	33.34	44.0	0.0812	31479	76.4	10.40	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	OOS validation, all coins
split-test-8coin	test	29.83	29.83	35.1	0.0994	32070	73.6	9.89	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-27	OOS validation, all coins
