exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
exp17-size250	val	4311.21	16.83	161137928.8	9.2606	15631	75.5	9.55	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=2.50
exp18-size255	val	4320.73	16.65	185001794.3	9.5256	15631	75.5	9.55	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=2.55
exp19-size260	val	-999.00	16.48	211208909.2	10.0136	15631	75.5	9.55	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=2.60
exp20-size257	val	4316.61	16.58	195204074.3	9.7182	15631	75.5	9.55	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=2.57
exp21-size258	val	4309.37	16.55	200443473.0	9.8151	15631	75.5	9.55	BTC/ETH/SOL	2026-03-27	Phase1: BASE_POSITION_PCT=2.58
exp22-atr6	val	3462.27	20.25	2914024.1	4.7893	15630	75.5	8.89	BTC/ETH/SOL	2026-03-27	Phase2: ATR_STOP=6.0 at size 1.50
exp23-atr10	val	3496.10	20.47	3215795.9	4.7893	15631	75.5	9.58	BTC/ETH/SOL	2026-03-27	Phase2: ATR_STOP=10.0 at size 1.50
exp24-atr12	val	3496.10	20.47	3215795.9	4.7893	15631	75.5	9.58	BTC/ETH/SOL	2026-03-27	Phase2: ATR_STOP=12.0 at size 1.50
exp25-tp15	val	3512.00	20.70	3291642.3	4.7893	15717	75.8	9.61	BTC/ETH/SOL	2026-03-27	Phase2: TP=1.5% at size 1.50
exp26-tp12	val	3576.89	21.10	3974410.9	4.7893	15855	75.9	9.60	BTC/ETH/SOL	2026-03-27	Phase2: TP=1.2% at size 1.50
exp27-tp10	val	3516.70	20.75	3619101.6	5.0952	15998	76.0	9.25	BTC/ETH/SOL	2026-03-27	Phase2: TP=1.0% at size 1.50
exp28-tp11	val	3553.91	21.12	4035467.0	5.0952	15917	76.0	9.53	BTC/ETH/SOL	2026-03-27	Phase2: TP=1.1% at size 1.50
exp29-tp13	val	3556.72	20.99	3748252.5	4.7893	15810	75.9	9.70	BTC/ETH/SOL	2026-03-27	Phase2: TP=1.3% at size 1.50
exp30-size200-tp12	val	4131.56	19.23	39525873.1	6.9800	15855	75.9	9.52	BTC/ETH/SOL	2026-03-27	Phase2: size=2.00 TP=1.2% combo
exp31-size250-tp12	val	4354.43	17.39	223628282.0	9.8907	15855	75.9	9.45	BTC/ETH/SOL	2026-03-27	Phase2: size=2.50 TP=1.2% combo
exp32-size245-tp12	val	4341.59	17.57	192750000.7	9.5872	15855	75.9	9.45	BTC/ETH/SOL	2026-03-27	Phase2: size=2.45 TP=1.2% combo
exp33-votes2	val	3194.91	18.47	1467303.4	4.8331	16801	76.4	10.25	BTC/ETH/SOL	2026-03-27	Phase3: MIN_VOTES=2 at size 1.50 TP 1.2%
exp34-votes4	val	3427.03	20.95	3839319.1	6.4899	14520	73.8	9.04	BTC/ETH/SOL	2026-03-27	Phase3: MIN_VOTES=4 at size 1.50 TP 1.2%
exp35-thresh003	val	3556.56	20.99	3879773.9	4.7893	15997	76.0	9.67	BTC/ETH/SOL	2026-03-27	Phase3: dyn_threshold=0.003
exp36-thresh005	val	3608.00	21.36	4350053.2	4.7893	15711	75.7	9.49	BTC/ETH/SOL	2026-03-27	Phase3: dyn_threshold=0.005
exp37-thresh006	val	3607.85	21.32	4399686.8	4.7893	15606	75.6	9.49	BTC/ETH/SOL	2026-03-27	Phase3: dyn_threshold=0.006
exp38-thresh007	val	3623.15	21.51	4654531.6	4.7893	15492	75.5	9.41	BTC/ETH/SOL	2026-03-27	Phase3: dyn_threshold=0.007
exp39-thresh008	val	3645.18	21.60	4845665.8	4.7893	15373	75.5	9.28	BTC/ETH/SOL	2026-03-27	Phase3: dyn_threshold=0.008
exp40-thresh010	val	3628.90	21.49	4732957.5	4.7893	15200	75.1	9.21	BTC/ETH/SOL	2026-03-27	Phase3: dyn_threshold=0.010
exp41-thresh009	val	3682.71	21.79	5402996.0	4.7893	15292	75.4	9.22	BTC/ETH/SOL	2026-03-27	Phase3: dyn_threshold=0.009
exp42-thresh0095	val	3655.37	21.65	5050952.3	4.7893	15248	75.3	9.25	BTC/ETH/SOL	2026-03-27	Phase3: dyn_threshold=0.0095
exp43-ema2-10	val	3622.64	21.68	4441847.9	4.6453	15402	75.3	9.17	BTC/ETH/SOL	2026-03-27	Phase3: EMA 2/10
exp44-ema4-15	val	3669.68	21.52	5328771.5	4.7893	15015	75.2	9.09	BTC/ETH/SOL	2026-03-27	Phase3: EMA 4/15
exp45-ema5-20	val	3631.98	21.07	5163008.3	5.2720	14747	75.0	8.83	BTC/ETH/SOL	2026-03-27	Phase3: EMA 5/20
exp46-med10	val	3634.68	21.40	4756342.1	4.7893	15158	75.2	9.43	BTC/ETH/SOL	2026-03-27	Phase3: MED_WINDOW=10
exp47-med16	val	3655.19	21.37	5048219.6	4.7893	15339	75.5	9.34	BTC/ETH/SOL	2026-03-27	Phase3: MED_WINDOW=16
exp48-med12	val	3647.08	21.51	4989928.0	4.7893	15255	75.3	9.09	BTC/ETH/SOL	2026-03-27	Phase3: MED_WINDOW=12
exp49-htfmom8	val	3449.28	21.06	2799813.9	4.7798	15780	74.8	8.64	BTC/ETH/SOL	2026-03-27	Phase4: HTF_MOM_WINDOW=8
exp50-htfmom14	val	3545.42	20.54	4724762.6	5.8718	14641	75.2	8.91	BTC/ETH/SOL	2026-03-27	Phase4: HTF_MOM_WINDOW=14
exp51-htfmom10	val	3474.01	21.34	4584528.7	6.4899	15551	75.2	9.04	BTC/ETH/SOL	2026-03-27	Phase4: HTF_MOM_WINDOW=10
exp52-htfmom12	val	3750.28	21.90	6448048.3	4.7607	15064	75.6	9.21	BTC/ETH/SOL	2026-03-27	Phase4: HTF_MOM_WINDOW=12
exp53-htfmom13	val	3497.47	21.17	5003297.2	6.8008	14802	75.5	8.82	BTC/ETH/SOL	2026-03-27	Phase4: HTF_MOM_WINDOW=13
exp54-htfema12-48	val	3733.99	21.62	6151149.9	4.7607	15054	75.6	9.23	BTC/ETH/SOL	2026-03-27	Phase4: HTF_EMA 12/48
exp55-htfema16-56	val	3714.45	21.78	5883640.7	4.7607	15064	75.5	8.84	BTC/ETH/SOL	2026-03-27	Phase4: HTF_EMA 16/56
exp56-htfvotes1	val	-999.00	14.86	511130.2	11.7972	12458	72.9	6.29	BTC/ETH/SOL	2026-03-27	Phase4: HTF_MIN_VOTES=1
exp57-rsi6	val	3849.39	22.20	7578512.6	4.1951	15587	76.4	9.45	BTC/ETH/SOL	2026-03-27	Phase5: RSI_PERIOD=6
exp58-rsi4	val	3838.85	21.91	10524219.5	5.7442	15836	77.8	12.49	BTC/ETH/SOL	2026-03-27	Phase5: RSI_PERIOD=4
exp59-rsi5	val	4033.91	22.87	11042144.8	3.7439	15908	76.7	8.71	BTC/ETH/SOL	2026-03-27	Phase5: RSI_PERIOD=5
exp60-rsi7	val	3793.51	21.87	7040691.2	4.9610	15325	76.1	8.60	BTC/ETH/SOL	2026-03-27	Phase5: RSI_PERIOD=7
exp61-rsiob72-28	val	4043.04	23.11	22376262.2	6.4037	14803	79.2	11.45	BTC/ETH/SOL	2026-03-27	Phase5: RSI OB/OS 72/28
exp62-rsiob65-35	val	3375.42	20.27	1931128.9	4.1540	17218	72.3	6.95	BTC/ETH/SOL	2026-03-27	Phase5: RSI OB/OS 65/35
exp63-rsiob75-25	val	4130.26	22.80	30629164.7	6.5469	13646	81.8	16.66	BTC/ETH/SOL	2026-03-27	Phase5: RSI OB/OS 75/25
exp64-rsiob80-20	val	4074.09	21.05	28571167.4	6.7010	11796	86.2	28.56	BTC/ETH/SOL	2026-03-27	Phase5: RSI OB/OS 80/20
exp65-rsi6931-size280	val	5902.19	19.88	12810815769.0	8.1256	15908	76.7	8.23	BTC/ETH/SOL	2026-03-27	RSI 69/31 + size 2.80: max sizing test
exp66-rsi6931-size300	val	6046.08	19.41	30019642744.7	9.0415	15908	76.7	8.18	BTC/ETH/SOL	2026-03-27	RSI 69/31 + size 3.00
exp67-rsi6931-size310	val	6094.84	19.17	44887302021.2	9.5297	15908	76.7	8.16	BTC/ETH/SOL	2026-03-27	RSI 69/31 + size 3.10
exp68-size315	val	6110.32	19.05	54570243261.8	9.7902	15908	76.7	8.15	BTC/ETH/SOL	2026-03-27	RSI 69/31 + size 3.15
exp69-size318	val	6122.59	18.98	61247514984.7	9.9479	15908	76.7	8.15	BTC/ETH/SOL	2026-03-27	RSI 69/31 + size 3.18
exp70-size319	val	-999.00	18.96	63631442175.7	10.0008	15908	76.7	8.15	BTC/ETH/SOL	2026-03-27	RSI 69/31 + size 3.19
exp71-rsi7525-size230	val	-999.00	20.25	2954969646.4	10.8375	13646	81.8	16.49	BTC/ETH/SOL	2026-03-27	RSI 75/25 + size 2.30
exp72-rsi7525-size200	val	4799.07	21.20	624380943.0	9.2393	13646	81.8	16.54	BTC/ETH/SOL	2026-03-27	RSI 75/25 + size 2.00
exp73-macd10-20-5	val	3918.33	22.62	8674295.6	4.0435	16077	76.5	8.42	BTC/ETH/SOL	2026-03-27	Phase5: MACD 10/20/5
exp74-macd12-26-5	val	3963.04	22.68	9849309.4	4.0435	15968	76.5	8.51	BTC/ETH/SOL	2026-03-27	Phase5: MACD 12/26/5
exp75-macd14-26-7	val	4047.20	22.85	12016025.0	4.0370	15673	76.9	9.25	BTC/ETH/SOL	2026-03-27	Phase5: MACD 14/26/7
exp76-macd14-26-9	val	4050.26	22.86	13320082.0	4.3617	15487	76.9	9.38	BTC/ETH/SOL	2026-03-27	Phase5: MACD 14/26/9
exp77-cool1	val	4541.48	22.84	75873671.3	5.5966	19814	74.9	7.85	BTC/ETH/SOL	2026-03-27	Phase5: COOLDOWN=1
exp78-cool0	val	4541.48	22.84	75873671.3	5.5966	19814	74.9	7.85	BTC/ETH/SOL	2026-03-27	Phase5: COOLDOWN=0
exp79-wt-25-35-40	val	4741.78	22.74	171966481.4	6.3958	19814	74.9	7.70	BTC/ETH/SOL	2026-03-27	Phase6: BTC=0.25, ETH=0.35, SOL=0.40
bear	2024-07-01_2024-09-30	1515.60	21.80	11548.9	5.7508	6529	74.2	7.51	BTC/ETH/SOL	2026-03-27	Bear: BTC 63K->54K
choppy	2025-01-01_2025-03-31	1845.36	23.37	33498.0	6.2226	6554	74.9	7.43	BTC/ETH/SOL	2026-03-27	Choppy: BTC 90-100K consolidation
bull	2024-10-01_2025-01-31	1996.54	21.65	65320.6	7.7991	8699	75.3	10.52	BTC/ETH/SOL	2026-03-27	Bull: BTC 60K->100K+
split-test	val	4855.89	22.10	393546202.3	7.7991	19814	74.9	7.43	BTC/ETH/SOL	2026-03-27	OOS validation
train-long	2023-06-01_2024-06-30	-999.00	17.15	4223763433.6	12.0194	27461	71.9	7.45	BTC/ETH/SOL	2026-03-27	Full train: 13 months, Jun23-Jun24
split-test	test	-999.00	19.30	21017411.9	11.6092	19393	73.6	8.95	BTC/ETH/SOL	2026-03-27	OOS validation
cb-baseline	test	-1241.05	26.11	69886.1	4.1536	11016	73.2	8.32	BTC/ETH/SOL	2026-04-12	Coinbase perp data, 3bps taker fee, test split
hl-test-baseline	test	-41548.03	23.82	3689344.5	3.9971	19393	73.5	8.95	BTC/ETH/SOL	2026-04-12	HL/Binance data, test split, for CB comparison
cb-1h-baseline	test	-213.20	20.02	21865.3	3.8019	5624	73.5	9.32	BTC/ETH/SOL	2026-04-12	Same strategy on 1h candles, CB data. Testing fee reduction via lower frequency.
cb-min-votes-4	test	-242.31	21.30	16031.1	2.7066	8211	68.1	6.06	BTC/ETH/SOL	2026-04-12	MIN_VOTES raised from 3 to 4. Testing if skipping weak signals improves net after fees.
cb-no-trade-0200-0800	test	-190.34	20.96	10897.5	3.3702	8634	71.1	5.46	BTC/ETH/SOL	2026-04-12	Skip trading 02:00-08:00 UTC. Close positions at 02:00, resume at 08:00.
cb-consensus	test	-993.52	25.23	57014.7	4.2026	10450	72.6	8.00	BTC/ETH/SOL	2026-04-13	Dual-feed consensus: enter only when both HL and CB agree
cb-10vote-7min	test	-317.86	22.11	21249.3	2.7066	8584	69.4	6.72	BTC/ETH/SOL	2026-04-13	Dual-feed 10-vote pool: require 7/10 to enter
cb-10vote-6min	test	-1111.16	25.87	63603.7	4.1536	10750	72.9	8.18	BTC/ETH/SOL	2026-04-13	Dual-feed 10-vote pool: require 6/10 to enter (more aggressive)
cb-hl-signal	test	-1188.67	25.60	66534.5	4.2026	10912	73.5	8.53	BTC/ETH/SOL	2026-04-13	HL candles for signal generation, CB for execution and P&L
