exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
exp19-med16	val	3936.01	18.43	53404161.9	9.5159	31208	75.6	9.17	BTC/ETH/SOL	2026-03-27	MED_WINDOW=16, SHORT_WINDOW=8
exp20-med20	val	3938.86	18.47	52341994.4	9.5159	31296	75.7	9.21	BTC/ETH/SOL	2026-03-27	MED_WINDOW=20, SHORT_WINDOW=8
exp21-ema2-8	val	3995.90	18.78	56031156.7	9.5159	30660	74.9	8.87	BTC/ETH/SOL	2026-03-27	EMA_FAST=2 EMA_SLOW=8
exp22-ema4-14	val	4052.56	18.98	68296421.8	9.5159	30383	74.8	8.78	BTC/ETH/SOL	2026-03-27	EMA_FAST=4 EMA_SLOW=14
exp23-thresh002	val	3940.10	18.54	50298005.7	9.5159	31103	75.3	8.97	BTC/ETH/SOL	2026-03-27	dyn_threshold=0.002
exp24-thresh004	val	4108.08	19.26	79306349.6	9.5159	30371	75.0	8.87	BTC/ETH/SOL	2026-03-27	dyn_threshold=0.004
exp25-thresh005	val	4161.19	19.59	92703558.1	9.5159	30106	74.9	8.87	BTC/ETH/SOL	2026-03-27	dyn_threshold=0.005
exp26-thresh006	val	4207.15	19.68	104255469.2	9.5159	29876	74.9	8.70	BTC/ETH/SOL	2026-03-27	dyn_threshold=0.006
exp27-thresh007	val	4244.74	19.91	119443324.5	9.5159	29692	74.8	8.56	BTC/ETH/SOL	2026-03-27	dyn_threshold=0.007
exp28-thresh008	val	4251.98	19.98	126088799.9	9.5159	29546	74.7	8.36	BTC/ETH/SOL	2026-03-27	dyn_threshold=0.008
exp29-thresh010	val	4214.17	20.00	124807419.1	9.8913	29307	74.6	8.41	BTC/ETH/SOL	2026-03-27	dyn_threshold=0.010
exp30-htffast8	val	4268.55	20.13	135076683.7	9.5159	29534	74.7	8.39	BTC/ETH/SOL	2026-03-27	HTF_EMA_FAST=8
exp31-htffast10	val	4268.62	20.11	133023538.0	9.5159	29532	74.7	8.39	BTC/ETH/SOL	2026-03-27	HTF_EMA_FAST=10
exp32-htffast18	val	4259.42	20.03	127158277.8	9.5159	29559	74.7	8.38	BTC/ETH/SOL	2026-03-27	HTF_EMA_FAST=18
exp33-htfslow30	val	4246.43	19.97	123856176.4	9.5159	29482	74.6	8.44	BTC/ETH/SOL	2026-03-27	HTF_EMA_SLOW=30
exp34-htfslow40	val	4271.44	20.09	136342981.1	9.5159	29496	74.7	8.52	BTC/ETH/SOL	2026-03-27	HTF_EMA_SLOW=40
exp35-htfslow60	val	4255.04	19.99	129323384.5	9.5159	29541	74.7	8.57	BTC/ETH/SOL	2026-03-27	HTF_EMA_SLOW=60
exp36-htfmom6	val	-999.00	18.40	46735293.9	12.3746	30310	74.1	8.23	BTC/ETH/SOL	2026-03-27	HTF_MOM_WINDOW=6
exp37-htfmom8	val	-999.00	18.20	39857649.5	13.1704	30647	74.4	8.36	BTC/ETH/SOL	2026-03-27	HTF_MOM_WINDOW=8
exp38-htfmom14	val	4394.09	19.84	148791400.3	8.9874	28024	74.5	8.14	BTC/ETH/SOL	2026-03-27	HTF_MOM_WINDOW=14
exp39-htfmom16	val	4239.56	19.18	119292346.7	9.5159	27239	74.3	8.15	BTC/ETH/SOL	2026-03-27	HTF_MOM_WINDOW=16
exp40-htfmom13	val	4213.36	19.27	123996167.3	9.8346	28520	74.5	8.27	BTC/ETH/SOL	2026-03-27	HTF_MOM_WINDOW=13
exp41-210pct-improved	val	4467.49	19.47	229146168.8	9.4736	28024	74.5	8.12	BTC/ETH/SOL	2026-03-27	210% sizing with improved HTF_MOM_WINDOW=14
exp42-220pct	val	4531.06	19.10	344438657.4	9.9503	28024	74.5	8.09	BTC/ETH/SOL	2026-03-27	220% sizing with improved signals
exp43-215pct	val	4495.41	19.28	281792615.1	9.7132	28024	74.5	8.10	BTC/ETH/SOL	2026-03-27	215% sizing
exp44-atr6	val	4357.30	18.90	192544292.1	9.7132	28027	74.4	7.66	BTC/ETH/SOL	2026-03-27	ATR_STOP_MULT=6.0
exp45-atr10	val	4495.41	19.28	281792615.1	9.7132	28024	74.5	8.10	BTC/ETH/SOL	2026-03-27	ATR_STOP_MULT=10.0
exp46-atr5	val	4300.21	18.73	160078760.0	9.7132	28027	74.3	7.35	BTC/ETH/SOL	2026-03-27	ATR_STOP_MULT=5.0
exp47-tp10	val	4546.71	19.57	337820832.4	9.7132	28236	74.5	8.23	BTC/ETH/SOL	2026-03-27	TAKE_PROFIT=1.0%
bear	2024-07-01_2024-09-30	1299.80	18.61	8892.6	8.7061	9456	73.0	7.90	BTC/ETH/SOL	2026-03-27	Bear: BTC 63K->54K
choppy	2025-01-01_2025-03-31	-999.00	21.22	39241.8	10.0613	9409	74.9	8.36	BTC/ETH/SOL	2026-03-27	Choppy: BTC 90-100K consolidation
bull	2024-10-01_2025-01-31	2056.60	20.20	86956.1	7.2645	12459	75.8	9.23	BTC/ETH/SOL	2026-03-27	Bull: BTC 60K->100K+
split-test	val	-999.00	19.92	464894191.4	10.0613	28437	74.7	8.36	BTC/ETH/SOL	2026-03-27	OOS validation
train-long	2023-06-01_2024-06-30	-999.00	16.65	1166379233.8	10.3214	40636	73.8	8.62	BTC/ETH/SOL	2026-03-27	Full train: 13 months, Jun23-Jun24
split-test	test	3685.83	17.59	20549944.6	8.8210	27403	73.3	8.85	BTC/ETH/SOL	2026-03-27	OOS validation
